ntype,node_name,node_id,global_graph_index
CPT,Vaccine,90749,0
CPT,Cholera vaccine,90625,1
CPT,Endoscopy Procedures on the Rectum,1007622,2
CPT,"Sigmoidoscopy, flexible",1007635,3
CPT,Intradermal tuberculosis skin test,86580,4
CPT,Homeless Shelter,1021866,5
CPT,Radiologic examination,1010354,6
CPT,"Radiologic examination, chest",1031050,7
CPT,White blood cell count,85004,8
CPT,"Blood gas, oxygen saturation measurement",82810,9
CPT,Diagnostic lumbar spinal puncture,62270,10
CPT,ASPIRATION BLADDER NEEDLE,51100,11
CPT,Measurement of procalcitonin (PCT),84145,12
CPT,"Diphtheria, tetanus toxoids, and acellular pertussis vaccine",90700,13
CPT,"Tetanus, diphtheria toxoids and acellular pertussis vaccine",90715,14
CPT,Echocardiography Procedures,1013050,15
CPT,Delivery procedure,59899,16
CPT,Guidelines,1022201,17
CPT,ANTISTREPTOLYSIN O TITER,86060,18
CPT,"Live measles, mumps and rubella virus vaccine",90707,19
CPT,Liver Transplantation Procedures,1007811,20
CPT,Human hepatitis B immune globulin,90371,21
CPT,Hemodialysis Procedures,1012752,22
CPT,Acupuncture Procedures,1013552,23
CPT,Ambulatory Surgical Center,1021884,24
CPT,T cells,1011953,25
CPT,HISTORY AIDS-DEFINING COND,3490F,26
CPT,Heterophile antibodies,1011925,27
CPT,ANTIBODY EPSTEIN-BARR EB VIRUS NUCLEAR AG EBNA,86664,28
CPT,Biopsy Procedures on the Skin,1003188,29
CPT,ASSAY OF TACROLIMUS,80197,30
CPT,Dark field examination,87166,31
CPT,Bacterial culture for Chlamydia,87110,32
CPT,ESCHAROTOMY FIRST INCISION,16035,33
CPT,Continuous positive airway pressure ventilation,94660,34
CPT,CARDIOPULMONARY RESUSCITATION,92950,35
CPT,Excision Procedures on the Spleen,1006845,36
CPT,Splenectomy,1006846,37
CPT,CT scan,76497,38
CPT,Partial removal of spleen,38101,39
CPT,Surgical Procedures for In Vitro Fertilization,1008937,40
CPT,ABORTION (MPR),59866,41
CPT,Cesarean Delivery Procedures,1008991,42
CPT,Cesarean delivery,59514,43
CPT,Fertilizing of eggs,89268,44
CPT,ARTIFICIAL INSEMINATION,58322,45
CPT,EMBRYO TRANSFER INTRAUTERINE,58974,46
CPT,Anesthesia for procedure,01999,47
CPT,Anesthesia,1002796,48
CPT,Anesthesia for,1014043,49
CPT,Skin test,1011969,50
CPT,"Biopsy, muscle",1003693,51
CPT,Decompression,1009626,52
CPT,School,1021865,53
CPT,Immunoelectrophoresis,1011933,54
CPT,Special service,99199,55
CPT,Positron emission tomography (PET) imaging,1011115,56
CPT,PET imaging,78811,57
CPT,Use of operating microscope,69990,58
CPT,Measurement of calcitonin,80410,59
CPT,ASSAY OF CALCITONIN,82308,60
CPT,ORTHOPANTOGRAM,70355,61
CPT,Esophagogastroduodenoscopy Procedures,1021431,62
CPT,Tissue culture of tissue biopsy,88233,63
CPT,Radiation Oncology Treatment,1010843,64
CPT,MRI scan,76498,65
CPT,Physical Examination,1014526,66
CPT,Fine Needle Aspiration Biopsy Procedures,1035129,67
CPT,Excision Procedures on the Larynx,1005815,68
CPT,Laryngectomy,1005819,69
CPT,CT of thorax,71250,70
CPT,LIMITED PHARYNGECTOMY,42890,71
CPT,Complete laryngectomy,31360,72
CPT,Partial removal of esophagus,43123,73
CPT,Excision Procedures on the Esophagus,1007219,74
CPT,Photodynamic Therapy Procedures,1013466,75
CPT,"Gastrectomy, total",1007359,76
CPT,CARCINOEMBRYONIC ANTIGEN,82378,77
CPT,Endoscopy Procedures on the Anus,1007731,78
CPT,Anoscopy,1007732,79
CPT,Episiotomy,59300,80
CPT,"Excision, local",1007356,81
CPT,Endoscopic retrograde cholangiopancreatography (ERCP),1007283,82
CPT,Cardiac Catheterization Procedures,1013071,83
CPT,Bile duct procedure,47999,84
CPT,Alpha-fetoprotein (AFP),1011264,85
CPT,HEPATECTOMY RESCJ PARTIAL LOBECTOMY,47120,86
CPT,ESOPG/GSTR FUNDOPLASTY W/FUNDIC PATCH,43325,87
CPT,Excision Procedures on the Liver,1007804,88
CPT,Anabolic steroids,1022248,89
CPT,PANCREATECTOMY TOTAL,48155,90
CPT,Blood glucose (sugar) level,82947,91
CPT,Bilirubin level,82248,92
CPT,Measurement of bilirubin,88720,93
CPT,ASSAY OF METANEPHRINES,83835,94
CPT,Catecholamines,1011327,95
CPT,Cholecystectomy,1014153,96
CPT,CHOLECYSTECTOMY,47600,97
CPT,Peritoneal lavage,49084,98
CPT,Radiology Procedures,1010251,99
CPT,Surgery,1003143,100
CPT,AMPUTATION OF LEG AT HIP,27290,101
CPT,MAST RAD W/PECTORAL MUSCLES AXILLARY LYMPH NODES,19305,102
CPT,Mastectomy Procedures,1015054,103
CPT,Estrogens,1011401,104
CPT,"Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy)",1014812,105
CPT,Reconstruction of breast,19366,106
CPT,Biopsy of breast,1003621,107
CPT,Excision Procedures on the Testis,1008559,108
CPT,Surgical Procedures on the Testis,1008558,109
CPT,Enlargement of breast,19316,110
CPT,REDUCTION MAMMAPLASTY,19318,111
CPT,"Mammaplasty, augmentation",1003657,112
CPT,Augmentation mammoplasty,19324,113
CPT,Surgical Procedures on the Breast,1003614,114
CPT,Flap,1003472,115
CPT,REVISE BREAST RECONSTRUCTION,19380,116
CPT,MAST SUBQ,19304,117
CPT,Surgical Team,66,118
CPT,ENDOCERVICAL CURETTAGE,57505,119
CPT,Hysterectomy Procedures,1013911,120
CPT,Excision Procedures on the Cervix Uteri,1008799,121
CPT,Amputation of cervix,57530,122
CPT,Biopsy of cervix,57500,123
CPT,Diagnostic hysteroscopy,58555,124
CPT,TRANSVAGINAL US NON-OB,76830,125
CPT,Excision Procedures on the Ovary,1008924,126
CPT,Ligation of fallopian tube,58611,127
CPT,Excision Procedures on the Vagina,1008729,128
CPT,ASSAY OF PROSTATE SPECIFIC ANTIGEN TOTAL,84153,129
CPT,"Biopsy, prostate",1008650,130
CPT,Excision Procedures on the Prostate,1008656,131
CPT,"Ultrasound, transrectal",1014258,132
CPT,US TRANSRECTAL,76872,133
CPT,LOW RISK OF RECURRENCE PROSTATE CANCER,3271F,134
CPT,Amputation of penis,1008493,135
CPT,Removal of lymph nodes at groin,38760,136
CPT,"Prostatectomy, perineal radical",1014181,137
CPT,Category III Codes,1014405,138
CPT,EXTENSIVE PROSTATE SURGERY,55810,139
CPT,Excision Procedures on the Kidney,1008084,140
CPT,NEPHRECTOMY PARTIAL,50240,141
CPT,Intravenous pyelography,74400,142
CPT,Urinalysis Procedures,1011223,143
CPT,Urinalysis,1011229,144
CPT,"Cystectomy, complete",1008257,145
CPT,Transurethral resection,1008387,146
CPT,"Cystectomy, partial",1008252,147
CPT,CYSTECTOMY PARTIAL SIMPLE,51550,148
CPT,Partial cystectomy,51555,149
CPT,Excision Procedures on the Bladder,1008245,150
CPT,Endoscopy Procedures on the Ureter,1008219,151
CPT,MAGNETIC RESONANCE ELASTOGRAPHY,76391,152
CPT,Complete thyroidectomy,60240,153
CPT,Excision Procedures on the Thyroid Gland,1009028,154
CPT,Thyroidectomy,60260,155
CPT,Surgical Procedures on the Thyroid Gland,1009025,156
CPT,ASSAY OF THYROGLOBULIN,84432,157
CPT,"Total thyroid lobectomy, unilateral",1009035,158
CPT,Diagnostic Ultrasound Procedures,1010759,159
CPT,Diagnostic ultrasound procedure,76999,160
CPT,Calcium,1011309,161
CPT,ASSAY OF CALCIUM,82310,162
CPT,Immunohistochemistry,88342,163
CPT,Removal of chest cavity and lung lining,32320,164
CPT,Removal of lung and chest cavity lining,32445,165
CPT,DRUG SCREEN QUANTITATIVE LEVETIRACETAM,80177,166
CPT,DECOMPRESSION INTERNAL AUDITORY CANAL,69960,167
CPT,Blood count,1011761,168
CPT,BLOOD COUNT HEMATOCRIT,85014,169
CPT,ASSAY OF ERYTHROPOIETIN,82668,170
CPT,Therapeutic phlebotomy,99195,171
CPT,BLEEDING TIME TEST,85002,172
CPT,Uric acid,1011736,173
CPT,Measurement of uric acid,84560,174
CPT,Chemotherapy procedure,96549,175
CPT,"Lactate dehydrogenase (LD), (LDH)",1014266,176
CPT,LACTATE (LD) (LDH) ENZYME,83615,177
CPT,Lactate dehydrogenase (enzyme) measurement,83625,178
CPT,Hemoglobin,1011483,179
CPT,Hemoglobin level,83026,180
CPT,DIAGNOSTIC BONE MARROW ASPIRATIONS,38220,181
CPT,X-ray of bones,77074,182
CPT,"Colectomy, partial",1007455,183
CPT,Excision Procedures on the Appendix,1007583,184
CPT,APPENDECTOMY,44950,185
CPT,Excision,1004869,186
CPT,FACIAL NERVE FUNCTION STUDIES,92516,187
CPT,Removal of skin tags,11201,188
CPT,MRI PELVIS W/CONTRAST MATERIAL,72196,189
CPT,Connection of arteries in head,61711,190
CPT,Retrograde urography,74420,191
CPT,Renal biopsy,1008085,192
CPT,Biopsy of kidney,50205,193
CPT,Measurement of aldosterone,80408,194
CPT,ASSAY OF ALDOSTERONE,82088,195
CPT,DETERMINATION REFRACTIVE STATE,92015,196
CPT,Conjunctivoplasty Procedures,1010062,197
CPT,Conjunctivoplasty,1010063,198
CPT,ASSAY OF GONADOTROPIN (LH),83002,199
CPT,ASSAY OF GONADOTROPIN (FSH),83001,200
CPT,ASSAY GROWTH HORMONE (HGH),83003,201
CPT,Measurement of estradiol,80415,202
CPT,ASSAY OF ESTRADIOL,82670,203
CPT,Insulin,1011517,204
CPT,Measurement of thyroid stimulating hormone,80050,205
CPT,Measurement of thyroid stimulating hormone,80438,206
CPT,Measurement of thyroid stimulating hormone,80439,207
CPT,ASSAY OF THYROID STIMULATING HORMONE TSH,84443,208
CPT,Cortisol,1011359,209
CPT,Measurement of cortisol,80400,210
CPT,Measurement of cortisol,80406,211
CPT,Measurement of cortisol,80420,212
CPT,Measurement of cortisol,80436,213
CPT,Cortisol (hormone) measurement,82530,214
CPT,Chemical peel of skin,15793,215
CPT,Nuclear imaging of salivary gland,78230,216
CPT,3-phase nuclear imaging study of bone,78315,217
CPT,ASSAY OF TSI GLOBULIN,84445,218
CPT,Tarsorrhaphy Procedures on the Eyelids,1010007,219
CPT,Cholesterol level,82465,220
CPT,Nuclear thyroid imaging,78013,221
CPT,ASSAY OF TRIIODOTHYRONINE T3 FREE,84481,222
CPT,ASSAY OF THYROID ACTIVITY,84442,223
CPT,Measurement of triiodothyronine uptake,84479,224
CPT,Renal Transplantation Procedures,1008098,225
CPT,Glucose,1011445,226
CPT,Measurement of glucose,80430,227
CPT,Measurement of glucose,80435,228
CPT,Emergency services,ET,229
CPT,Pancreas Transplantation Procedures,1007944,230
CPT,Hemoglobin A1C level,83037,231
CPT,Bariatric Surgery Procedures,1007385,232
CPT,Diabetes Prevention Programs,1034889,233
CPT,Nerve Conduction Tests,1019101,234
CPT,Nerve conduction studies,1021171,235
CPT,Electromyography Procedures,1013340,236
CPT,Fluorescein angiography,92235,237
CPT,Partial removal of pancreas,48146,238
CPT,ASSAY OF C-PEPTIDE,84681,239
CPT,Gastrin (GI tract hormone) level,82938,240
CPT,ASSAY OF GASTRIN,82941,241
CPT,Surgical Procedures on the Stomach,1007344,242
CPT,STOMACH SURGERY PROCEDURE,43999,243
CPT,"Computed tomography, abdomen",1010526,244
CPT,CT of abdomen,74150,245
CPT,ASSAY OF PARATHORMONE,83970,246
CPT,Measurement of vitamin,84591,247
CPT,Vitamin D,1020198,248
CPT,Urine calcium level,82340,249
CPT,ADH (antidiuretic hormone) level,84588,250
CPT,ASSAY OF OSMOLALITY URINE,83935,251
CPT,SKIN TISSUE PROCEDURE,17999,252
CPT,Surgical Procedures on the Nervous System,1009068,253
CPT,NERVOUS SYSTEM SURGERY,64999,254
CPT,ASSAY OF SERUM SODIUM,84295,255
CPT,Sodium,1011684,256
CPT,Measurement of sodium,84302,257
CPT,ASSAY OF BLOOD OSMOLALITY,83930,258
CPT,Osmolality,1011604,259
CPT,Artificial insemination,1008854,260
CPT,ADRENOCORTICOTROPIC HORMONE ACTH,82024,261
CPT,ASSAY OF URINE SODIUM,84300,262
CPT,CHORION BIOPSY,59015,263
CPT,ANDROSTENEDIONE,82157,264
CPT,ASSAY OF SEX HORMONE BINDING GLOBULIN,84270,265
CPT,Surgical Procedures on the Ovary,1008914,266
CPT,Semen analysis,1012549,267
CPT,Semen analysis,89321,268
CPT,DIHYDROTESTOSTERONE,82642,269
CPT,BONE AGE STUDIES,77072,270
CPT,Mass spectrometry (laboratory testing method),83789,271
CPT,MRI ABDOMEN W/O CONTRAST MATERIAL,74181,272
CPT,MRI of abdomen,74183,273
CPT,Family History,1014981,274
CPT,Psychotherapy Services and Procedures,1021137,275
CPT,Family psychotherapy,90846,276
CPT,GROUP PSYCHOTHERAPY,90853,277
CPT,Biofeedback training,90901,278
CPT,ASSAY OF VITAMIN A,84590,279
CPT,ASSAY OF HOMOCYSTEINE,83090,280
CPT,ASSAY OF ASCORBIC ACID,82180,281
CPT,Measurement of vitamin D in serum,0038U,282
CPT,HEMOGLOBIN ELECTROPHORESIS,83020,283
CPT,Electrophoresis,82664,284
CPT,Protein,1011659,285
CPT,RADIOLOGIC EXAMINATION OSSEOUS SURVEY COMPL,77075,286
CPT,Registered dietician,AE,287
CPT,ASSAY OF AMMONIA,82140,288
CPT,ASSAY OF CRYOGLOBULIN,82595,289
CPT,Biopsy of rectum,45100,290
CPT,TONE DECAY HEARING TEST,92563,291
CPT,Lung Transplantation Procedures,1006036,292
CPT,Transplant of lung,32851,293
